999.8	88	31.8	22.3	223	8.9
999.1	92	31.7	22.1	222	9.1
998.4	95	31.6	21.9	220	9.3
997.8	99	31.5	21.7	219	9.5
997.1	105	31.4	21.6	218	9.5
996.4	111	31.3	21.4	217	9.7
995.7	118	31.1	21.2	216	9.9
995	125	31	21	214	10.1
994.3	132	30.9	20.9	213	10.3
993.6	138	30.8	20.7	212	10.5
992.9	145	30.7	20.5	211	10.5
992.2	152	30.6	20.3	210	10.7
991.5	159	30.5	20.2	209	10.9
990.9	166	30.4	20	208	11.1
990.2	174	30.3	19.8	208	11.3
989.5	182	30.2	19.6	207	11.5
988.8	190	30	19.4	206	11.7
988.1	197	29.9	19.3	205	11.9
987.4	203	29.8	19.1	204	12.1
986.7	208	29.7	18.9	204	12.2
986.1	213	29.6	18.7	203	12.4
985.5	217	29.5	18.7	202	12.4
984.9	223	29.4	18.6	201	12.4
984.2	230	29.3	18.5	200	12.4
983.4	236	29.2	18.5	199	12.4
982.7	243	29.1	18.6	198	12.4
981.9	251	29	18.5	198	12.4
981	258	29	18.5	197	12.4
980.2	266	28.9	18.4	196	12.2
979.4	273	28.8	18.4	195	12.2
978.5	281	28.8	18.3	195	12.2
977.8	288	28.7	18.3	194	12.1
977	295	28.6	18.3	194	12.1
976.3	301	28.6	18.3	193	12.1
975.7	307	28.6	18.4	193	11.9
975.1	312	28.5	18.4	193	11.9
974.6	317	28.5	18.4	193	11.9
974.1	321	28.5	18.3	193	11.9
973.5	326	28.4	18.4	193	11.9
973	332	28.3	18.4	194	11.9
972.3	337	28.2	18.5	194	11.9
971.7	343	28.1	18.5	195	11.9
971.1	349	28.1	18.5	196	11.9
970.4	355	28	18.4	197	11.9
969.9	360	27.9	18.4	197	11.9
969.3	365	27.9	18.3	198	11.9
968.8	370	27.8	18.2	200	12.1
968.4	374	27.8	18.2	201	12.1
967.9	378	27.8	18.3	202	12.1
967.4	382	27.7	18.3	203	12.2
967	386	27.6	18.4	204	12.2
966.5	391	27.6	18.4	205	12.4
966	396	27.5	18.3	206	12.4
965.5	401	27.5	18.3	207	12.6
964.9	405	27.4	18.3	207	12.6
964.4	410	27.4	18.3	208	12.6
963.8	416	27.4	18.3	209	12.8
963.2	421	27.3	18.3	209	12.8
962.7	426	27.3	18.3	210	12.8
962.1	431	27.3	18.2	210	13
961.6	436	27.3	18.2	211	13
961.1	441	27.2	18.2	211	13
960.6	445	27.2	18.2	211	13
960.1	449	27.1	18.2	211	13.2
959.7	453	27.1	18.2	212	13.2
959.3	457	27	18.2	212	13.2
958.7	463	27	18.2	212	13.2
958	469	26.9	18.3	211	13.4
957.3	476	26.8	18.3	211	13.4
956.6	482	26.8	18.3	211	13.4
955.9	488	26.7	18.2	211	13.6
955.4	494	26.7	18.2	211	13.6
954.8	499	26.7	18.1	211	13.8
954.2	505	26.6	18.1	211	13.8
953.6	510	26.6	18.1	211	14
952.9	517	26.5	18.2	210	14.2
952.2	523	26.4	18.2	210	14.2
951.6	529	26.4	18.1	210	14.4
950.9	535	26.3	18.1	210	14.6
950.3	541	26.3	18.1	210	14.8
949.7	546	26.2	18	211	15
949.2	551	26.2	18	211	15.2
948.7	556	26.1	18	211	15.2
948.2	560	26.1	18	211	15.4
947.7	565	26	18.1	211	15.6
947.1	570	26	18.2	212	15.7
946.4	577	25.9	18.2	212	15.9
945.8	583	25.8	18.1	212	15.9
945.1	589	25.8	18.1	213	16.1
944.6	594	25.7	18.1	213	16.3
944.1	599	25.7	18.1	214	16.3
943.6	604	25.6	18	214	16.5
943	609	25.6	18	215	16.5
942.4	614	25.5	18.1	215	16.7
941.9	619	25.4	18.1	216	16.7
941.3	625	25.4	18	217	16.7
940.7	630	25.3	18	217	16.9
940	637	25.3	18	218	16.9
939.3	643	25.2	17.9	219	16.9
938.7	649	25.2	17.9	219	16.9
938	655	25.1	17.8	220	16.9
937.4	661	25	17.8	221	16.7
936.7	667	25	17.9	222	16.7
936.1	674	24.9	17.9	222	16.7
935.4	680	24.9	17.9	223	16.5
934.8	685	24.8	17.9	224	16.5
934.2	691	24.8	17.9	225	16.5
933.5	698	24.8	17.9	225	16.3
932.8	704	24.7	17.9	226	16.1
932.2	710	24.7	17.9	227	16.1
931.6	716	24.6	17.9	228	15.9
930.9	722	24.5	17.9	228	15.7
930.3	728	24.5	17.9	229	15.7
929.7	734	24.4	18	230	15.6
929	740	24.3	18	230	15.4
928.4	746	24.3	18	231	15.4
927.7	752	24.2	18	231	15.2
927	759	24.2	18	232	15
926.3	766	24.1	18	233	15
925.7	771	24	18	233	14.8
925.2	776	24	17.9	233	14.8
925	778	24	17.9	234	14.6
924.7	781	23.9	17.9	234	14.6
924.1	786	23.9	17.9	234	14.6
923.6	792	23.8	17.9	234	14.4
922.9	798	23.8	17.8	235	14.4
922.3	804	23.7	17.8	235	14.4
921.7	810	23.7	17.8	235	14.4
921.1	815	23.6	17.9	235	14.2
920.6	820	23.6	17.9	235	14.2
920.1	825	23.5	17.9	235	14.2
919.5	830	23.4	17.9	235	14.2
919	836	23.4	17.9	236	14.2
918.3	842	23.3	17.9	235	14.4
917.6	849	23.3	17.9	235	14.4
916.9	855	23.2	17.8	235	14.4
916.2	861	23.1	17.8	235	14.4
915.6	868	23.1	17.7	235	14.4
914.9	874	23	17.8	235	14.6
914.3	880	23	17.7	235	14.6
913.5	887	22.9	17.7	235	14.6
912.8	895	22.8	17.7	235	14.6
912	902	22.8	17.8	235	14.8
911.1	910	22.7	17.7	234	14.8
910.3	919	22.6	17.7	234	14.8
